KabKot,NamaProv,Produk,CV_Post-2,CV_Post-Intervention,CV_Pre-Intervention,Mean_Price_Post-2,Mean_Price_Post-Intervention,Mean_Price_Pre-Intervention,Variance_Post-2,Variance_Post-Intervention,Variance_Pre-Intervention,Variance_Change_Post1,Variance_Change_Post2,Price_Change_Post1,Pre_Event_Avg,Peak_Price,Post_Event_Avg,Days_to_Peak,Price_Spike,Recovery_Level,Cluster,Probability,Cluster_Label
Maros,Sulawesi Selatan,Minyak Goreng Curah,0.049946700348861645,0.060466277104854395,0.16563862578649316,15553.863636363636,14312.888888888889,17422.560004340277,603517.9329004312,748998.6928104571,8328123.855171254,-91.00639344664194,-92.75325459376202,-17.848531528528028,15765.480003720239,23100.0,14290.4,0.0,46.52265579322042,-9.356391326950773,0,1.0,High Success
Mataram,Nusa Tenggara Barat,Minyak Goreng Curah,0.030371725252986353,0.04352023403138927,0.11974547433863932,17843.136363636364,15571.0,19241.310004340277,293684.69480519515,459214.3529411766,5308691.53140823,-91.34976386884996,-94.4678515775941,-19.075156543459684,22729.980003720237,19633.0,14866.0,30.0,-13.625088993537835,-34.59739076951732,1,1.0,High Success
Melawi,Kalimantan Barat,Minyak Goreng Curah,0.06765720375164049,0.08775144116334949,0.11338362177432831,17578.5,15138.833333333334,17969.648336743554,1414463.4047619097,1764791.2058823535,4151258.7788160876,-57.48780550882303,-65.92687952917005,-15.753313311212066,17264.99000186012,21600.0,14155.0,0.0,25.10867366660989,-18.01327427079338,0,1.0,High Success
Merangin,Jambi,Minyak Goreng Curah,0.10646034361107233,0.034166607886355914,0.06849167786621786,16487.772727272728,13916.055555555555,18285.893337673613,3081056.8506493527,226066.40849673186,1568584.7022198623,-85.58787369424154,96.42272720682783,-23.897316370729758,19617.480003720237,18926.0,13650.6,30.0,-3.5248156419127494,-30.416139089162748,1,0.9999999691740791,High Success
Merauke,Papua Barat,Minyak Goreng Curah,0.08352645575137281,0.08006888989005587,0.009923827024775693,18442.842105263157,14790.611111111111,15766.749174572173,2373033.140350878,1402490.2516339868,24481.762978429102,5628.714279562799,9593.064761887283,-6.191118109719969,15854.940011160716,15822.450009300597,14000.0,0.0,-0.2049203707945144,-11.699445156241358,4,1.0,Low Impact
Mesuji,Lampung,Minyak Goreng Curah,0.13556505246094308,0.027718968540165825,0.12103465967681408,17468.727272727272,14132.333333333334,19135.143337673613,5608129.350649353,153455.29411764714,5363928.082232882,-97.13912469061727,4.552657393475257,-26.1446173465064,21304.980003720237,21600.0,14007.8,0.0,1.3847466471606518,-34.251053051662176,0,0.9999999723805603,High Success
Metro,Lampung,Minyak Goreng Curah,0.09849143644269144,0.06222156850271736,0.11615564198351609,17464.909090909092,14429.277777777777,17971.476671006945,2958895.3246753267,806066.9183006543,4357607.862354408,-81.50207765906825,-32.09817362784359,-19.710115969177604,21304.980003720237,18000.0,13139.8,0.0,-15.512711127366124,-38.32521787063141,0,1.0,High Success
Mimika,Papua Barat,Minyak Goreng Curah,0.18068727198645285,0.07462891999927772,0.015624303074781541,19920.295292207793,15488.722222222223,15924.249174572173,12955275.887878668,1336120.0947712415,61904.0749901479,2058.3717953686996,20827.985580820834,-2.7349920713712463,15854.940011160714,16417.0,14202.4,61.0,3.5450149192846974,-10.422871420500156,4,1.0,Low Impact
Minahasa,Sulawesi Utara,Minyak Goreng Curah,0.058585803118187084,0.0815432296258532,0.13946078884821622,17102.954545454544,14870.944444444445,20302.810004340277,1003984.6168831153,1470458.9967320238,8017085.879194686,-81.6584352607717,-87.47693822903186,-26.75425499590758,22396.980003720237,23460.0,13596.0,0.0,4.746264880815141,-39.29538715602887,0,0.999999998768951,High Success
Minahasa Selatan,Sulawesi Utara,Minyak Goreng Curah,0.07373038872718198,0.13342121872893173,0.15654400062367102,18301.954545454544,15929.277777777777,20160.810004340277,1820907.9502164498,4516915.624183007,9960675.928673852,-54.65251900044116,-81.71903229002169,-20.98889987878227,22396.980003720237,24500.0,14132.2,0.0,9.38974806393738,-36.90131438411527,0,0.999999999015829,High Success
Minahasa Tenggara,Sulawesi Utara,Minyak Goreng Curah,0.104572446840277,0.094234094640077,0.1454007061231789,16761.68181818182,15366.388888888889,19716.476671006945,3072343.179653678,2096813.3104575162,8218482.783968994,-74.48661309423719,-62.61666221840115,-22.063210657281658,22396.980003720237,23300.0,14345.4,0.0,4.0318828526424895,-35.94940033157521,0,0.9999999995858326,High Success
Minahasa Utara,Sulawesi Utara,Minyak Goreng Curah,0.08238983448799293,0.10668889747497697,0.1985974434038001,18084.136363636364,15170.333333333334,19966.810004340277,2219948.028138528,2619562.1176470583,15724059.466694692,-83.34042094412337,-85.8818390197479,-24.022248270826992,22396.980003720237,23900.0,14323.0,0.0,6.710815458289934,-36.04941381551938,0,0.9999999916869768,High Success
Mojokerto,Jawa Timur,Minyak Goreng Curah,0.0698499230177673,0.05563263267894604,0.0522038991455979,17802.363636363636,14736.722222222223,16800.212532223275,1546276.6553911224,672141.9777777778,769193.1988916245,-12.61727499069069,101.02578358977212,-12.282525033794785,17794.929104099025,17714.0,14328.2,0.0,-0.4547874488602647,-19.48155614343229,0,0.9999998578870984,High Success
Morowali,Sulawesi Tengah,Minyak Goreng Curah,0.0877934671763903,0.1465608157806367,0.15097922076372183,17699.395454545454,17487.220288800705,17561.26906415344,2414578.1531978883,6568667.959939781,7029851.533307471,-6.560360075637453,-65.6525014538699,-0.42165959124152674,16096.874677579366,23180.07023809524,17469.32415079365,0.0,44.00354542352092,8.52618598768064,0,1.0,High Success
Muara Enim,Sumatera Selatan,Minyak Goreng Curah,0.05468039482027162,0.08427465038417237,0.08765453770395586,15568.254513888889,13919.730847162098,17216.26076066343,724674.7499790563,1376117.7435479097,2277332.641655411,-39.57326574181984,-68.17879229745354,-19.14776942176322,19419.51993427579,17815.65,13105.791060606061,30.0,-8.259060675567637,-32.512280916511685,1,0.9999999999999973,High Success
Muaro Jambi,Jambi,Minyak Goreng Curah,0.05482850643574585,0.052619561917770466,0.03801319716475658,15730.636363636364,13717.833333333334,16984.143337673613,743884.3376623379,521033.32352941245,416827.2366599657,24.99982671584744,78.46346693250635,-19.231526367862596,17854.980003720237,17150.0,13190.0,0.0,-3.948366246130481,-26.127052523991896,0,0.9999999748167022,High Success
Mukomuko,Bengkulu,Minyak Goreng Curah,0.06355775500656184,0.0821885366872513,0.09480179460863858,15561.619318181818,15021.421296296296,18030.898546006945,978242.8251149891,1524209.0984250181,2921916.8763721525,-47.83530254572218,-66.5205114825315,-16.690667090338195,19617.480003720237,19500.0,13886.416666666666,0.0,-0.5988536942459375,-29.214064884820772,0,0.9999999994438973,High Success
Muna,Sulawesi Tenggara,Minyak Goreng Curah,0.09826959031787857,0.07527967986499524,0.18574028319589284,16902.203125,15919.224537037038,17823.29205419147,2758829.900095384,1436148.4832616837,10959432.189546136,-86.89577654733262,-74.82689018572562,-10.683029326822112,16159.440011160716,25000.0,15592.600000000002,0.0,54.70833136998215,-3.507794891216641,0,1.0,High Success
Murung Raya,Kalimantan Tengah,Minyak Goreng Curah,0.0024884760197048635,0.03354081934968817,0.039284797653619606,15016.818181818182,14783.844444444445,17019.65238405258,1396.4415584415717,245879.37673202538,447044.14616172545,-44.99885999109481,-99.68762781697707,-13.136625173984683,17255.826667906746,17744.8,14892.24,30.0,2.833670860884752,-13.697325045010237,1,0.9999998588025651,High Success
Musi Banyuasin,Sumatera Selatan,Minyak Goreng Curah,0.04456011342958346,0.06390088246633224,0.06701681453897622,15712.295710350258,14634.119328703706,16782.40687934028,490198.37080227636,874473.9880707741,1264957.8489806566,-30.86931799542149,-61.24784938902954,-12.800831049336495,18276.855003720237,17527.45625,13437.229583333334,30.0,-4.100260977983893,-26.47953063807642,1,0.9999999999803828,High Success
Musi Rawas,Sumatera Selatan,Minyak Goreng Curah,0.037630739961849166,0.039296515718487954,0.0741431567952778,15892.825371317796,14834.416666666666,17693.1884765625,357674.3029082862,339820.07857142854,1720894.9249394885,-80.25329300198979,-79.21579651814807,-16.157471072456733,19344.042503720237,19142.0,14425.1,30.0,-1.0444688781126281,-25.428720510587315,1,0.9999999329060762,High Success
